id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
750662610827372615,Home in Asheville · ★5.0 · 1 bedroom · 1 bed · 1 private bath,20324684,Beth,,28804,35.6245951,-82.56340670000002,Private room,52,2,42,2023-12-17,3.08,1,313,36,
751419245457888371,Guest suite in Asheville · ★4.90 · 1 bedroom · 2 beds · 1 bath,23006514,John,,28801,35.595281654302376,-82.54178019708868,Entire home/apt,109,1,10,2023-09-25,0.99,1,79,10,
752174290794940635,Home in Asheville · ★4.80 · 3 bedrooms · 4 beds · 2 baths,469848994,Cheryl,,28804,35.62191,-82.57364,Entire home/apt,229,2,20,2023-10-30,1.50,1,139,16,
752756257998723426,Guest suite in Arden · ★5.0 · 1 bedroom · 1 bed · 1 bath,486322701,Daniel And Alice,,28704,35.4766,-82.51576,Entire home/apt,184,2,39,2023-12-03,3.02,1,355,35,
752962513168096377,Home in Asheville · ★4.97 · 3 bedrooms · 3 beds · 2.5 baths,172948637,Elevation Escapes,,28804,35.60364,-82.53741,Entire home/apt,508,30,33,2023-11-26,2.94,4,90,33,
753640610205687012,Guest suite in Asheville · ★4.95 · 1 bedroom · 1 bed · 1 bath,100388193,McKinley,,28806,35.57726,-82.57939,Entire home/apt,80,1,42,2023-12-17,3.55,1,77,42,
754895013944592964,Home in Asheville · 2 bedrooms · 2 beds · 2 baths,95322893,Melissa,,28806,35.57684,-82.59593,Entire home/apt,71,28,2,2022-12-21,0.15,2,279,1,
755726999303314314,Home in Asheville · 2 bedrooms · 2 beds · 1.5 baths,69566870,Scott,,28801,35.59844,-82.55824,Entire home/apt,,28,0,,,1,268,0,
755933245094974115,Home in Asheville · ★4.95 · 1 bedroom · 1 bed · 1 shared bath,346647371,Zia,,28806,35.58978,-82.62075,Private room,45,1,62,2023-12-10,4.71,2,79,57,
755952376148639107,Home in Woodfin · ★4.94 · 2 bedrooms · 2 beds · 1 bath,99625066,Dustin,,28804,35.63526,-82.58423,Entire home/apt,132,2,62,2023-11-30,4.65,2,62,54,
756373781930465840,Home in Asheville · ★5.0 · 4 bedrooms · 6 beds · 3 baths,242485197,Matthew And Amelia,,28805,35.60022,-82.48788,Entire home/apt,347,3,33,2023-11-07,2.65,2,0,32,
757898715723200984,Home in Asheville · ★5.0 · 2 bedrooms · 2 beds · 2 baths,455233245,John,,28805,35.63146,-82.47464,Entire home/apt,463,3,20,2023-12-04,2.30,1,101,20,
760165895117553641,Home in Fletcher · ★4.80 · 5 bedrooms · 11 beds · 3 baths,57966968,Julia,,28732,35.46023,-82.46915,Entire home/apt,213,2,25,2023-11-25,1.94,2,311,23,
760853608588754168,Home in Asheville · ★5.0 · 4 bedrooms · 4 beds · 3 baths,36537667,Julia,,28804,35.63027,-82.54168,Entire home/apt,428,29,7,2023-10-04,0.58,3,153,7,
760906705796993539,Guest suite in Asheville · 1 bedroom · 1 bed · 1 bath,36537667,Julia,,28804,35.62901,-82.54147,Entire home/apt,,30,0,,,3,0,0,
760907034908557093,Home in Woodfin · 2 bedrooms · 2 beds · 1 bath,384261838,Legacy Mountain,,28804,35.62839,-82.57741,Entire home/apt,77,28,2,2023-10-28,0.43,4,320,2,
760958043751310639,Home in Asheville · ★5.0 · 1 bedroom · 1 bed · 1 bath,13967356,William,,28805,35.5812541,-82.5304422,Entire home/apt,102,3,10,2023-12-17,0.84,1,165,10,
761515523247022201,Home in Asheville · ★5.0 · 2 bedrooms · 3 beds · 1 bath,121681645,Evolve,,28805,35.5965,-82.48254,Entire home/apt,138,2,8,2023-07-17,0.63,47,147,7,
761718230870384077,Home in Asheville · 3 bedrooms · 5 beds · 1 bath,173861479,Amy,,28806,35.57775,-82.59656,Entire home/apt,300,30,2,2023-12-03,1.62,2,158,2,
